eval,T,current_cost,best_cost,accepted
3179,3.032965972132327e-05,587.0,587.0,0
3180,3.0178011422716652e-05,587.0,587.0,0
3181,3.002712136560307e-05,587.0,587.0,0
3182,2.9876985758775053e-05,587.0,587.0,0
3183,2.9727600829981178e-05,587.0,587.0,0
3184,2.957896282583127e-05,587.0,587.0,0
3185,2.9431068011702115e-05,587.0,587.0,0
3186,2.9283912671643604e-05,587.0,587.0,0
3187,2.9137493108285384e-05,587.0,587.0,0
3188,2.8991805642743958e-05,587.0,587.0,0
3189,2.884684661453024e-05,587.0,587.0,0
3190,2.8702612381457586e-05,587.0,587.0,0
3191,2.8559099319550297e-05,587.0,587.0,0
3192,2.8416303822952545e-05,587.0,587.0,0
3193,2.8274222303837784e-05,587.0,587.0,0
3194,2.8132851192318596e-05,587.0,587.0,0
3195,2.7992186936357004e-05,587.0,587.0,0
3196,2.785222600167522e-05,587.0,587.0,0
3197,2.7712964871666843e-05,587.0,587.0,0
3198,2.757440004730851e-05,587.0,587.0,0
3199,2.7436528047071966e-05,587.0,587.0,0
3200,2.7299345406836607e-05,587.0,587.0,0
3201,2.7162848679802424e-05,587.0,587.0,0
3202,2.7027034436403413e-05,587.0,587.0,0
3203,2.6891899264221394e-05,587.0,587.0,0
3204,2.6757439767900286e-05,587.0,587.0,0
3205,2.6623652569060786e-05,587.0,587.0,0
3206,2.649053430621548e-05,587.0,587.0,0
3207,2.6358081634684405e-05,587.0,587.0,0
3208,2.6226291226510985e-05,587.0,587.0,0
3209,2.609515977037843e-05,587.0,587.0,0
3210,2.5964683971526535e-05,587.0,587.0,0
3211,2.5834860551668902e-05,587.0,587.0,0
3212,2.5705686248910557e-05,587.0,587.0,0
3213,2.5577157817666005e-05,587.0,587.0,0
3214,2.5449272028577676e-05,587.0,587.0,0
3215,2.5322025668434787e-05,587.0,587.0,0
3216,2.5195415540092612e-05,587.0,587.0,0
3217,2.506943846239215e-05,587.0,587.0,0
3218,2.4944091270080188e-05,587.0,587.0,0
3219,2.4819370813729786e-05,587.0,587.0,0
3220,2.4695273959661136e-05,587.0,587.0,0
3221,2.457179758986283e-05,587.0,587.0,0
3222,2.4448938601913518e-05,587.0,587.0,0
3223,2.432669390890395e-05,587.0,587.0,0
3224,2.420506043935943e-05,587.0,587.0,0
3225,2.408403513716263e-05,587.0,587.0,0
3226,2.396361496147682e-05,587.0,587.0,0
3227,2.3843796886669437e-05,587.0,587.0,0
3228,2.372457790223609e-05,587.0,587.0,0
3229,2.360595501272491e-05,587.0,587.0,0
3230,2.3487925237661285e-05,587.0,587.0,0
3231,2.3370485611472978e-05,587.0,587.0,0
3232,2.3253633183415614e-05,587.0,587.0,0
3233,2.3137365017498536e-05,587.0,587.0,0
3234,2.3021678192411042e-05,587.0,587.0,0
3235,2.2906569801448985e-05,587.0,587.0,0
3236,2.2792036952441742e-05,587.0,587.0,0
3237,2.2678076767679533e-05,587.0,587.0,0
